,Wavelength,n,k,comp
723,915,2.025676,0.0,(2.025676+0j)
724,916,2.0256,0.0,(2.0256+0j)
725,917,2.025524,0.0,(2.025524+0j)
726,918,2.025448,0.0,(2.025448+0j)
727,919,2.025373,0.0,(2.025373+0j)
728,920,2.025297,0.0,(2.025297+0j)
729,921,2.025223,0.0,(2.025223+0j)
730,922,2.025148,0.0,(2.025148+0j)
731,923,2.025074,0.0,(2.025074+0j)
732,924,2.024999,0.0,(2.024999+0j)
733,925,2.024926,0.0,(2.024926+0j)
734,926,2.024852,0.0,(2.024852+0j)
735,927,2.024779,0.0,(2.024779+0j)
736,928,2.024706,0.0,(2.024706+0j)
737,929,2.024633,0.0,(2.024633+0j)
738,930,2.02456,0.0,(2.02456+0j)
739,931,2.024488,0.0,(2.024488+0j)
740,932,2.024416,0.0,(2.024416+0j)
741,933,2.024344,0.0,(2.024344+0j)
742,934,2.024273,0.0,(2.024273+0j)
743,935,2.024202,0.0,(2.024202+0j)
744,936,2.024131,0.0,(2.024131+0j)
745,937,2.02406,0.0,(2.02406+0j)
746,938,2.023989,0.0,(2.023989+0j)
747,939,2.023919,0.0,(2.023919+0j)
748,940,2.023849,0.0,(2.023849+0j)
749,941,2.023779,0.0,(2.023779+0j)
750,942,2.02371,0.0,(2.02371+0j)
751,943,2.023641,0.0,(2.023641+0j)
752,944,2.023571,0.0,(2.023571+0j)
753,945,2.023503,0.0,(2.023503+0j)
754,946,2.023434,0.0,(2.023434+0j)
755,947,2.023366,0.0,(2.023366+0j)
756,948,2.023298,0.0,(2.023298+0j)
757,949,2.02323,0.0,(2.02323+0j)
758,950,2.023162,0.0,(2.023162+0j)
759,951,2.023095,0.0,(2.023095+0j)
760,952,2.023028,0.0,(2.023028+0j)
761,953,2.022961,0.0,(2.022961+0j)
762,954,2.022894,0.0,(2.022894+0j)
763,955,2.022828,0.0,(2.022828+0j)
764,956,2.022762,0.0,(2.022762+0j)
765,957,2.022696,0.0,(2.022696+0j)
766,958,2.02263,0.0,(2.02263+0j)
767,959,2.022564,0.0,(2.022564+0j)
768,960,2.022499,0.0,(2.022499+0j)
769,961,2.022434,0.0,(2.022434+0j)
770,962,2.022369,0.0,(2.022369+0j)
771,963,2.022305,0.0,(2.022305+0j)
772,964,2.02224,0.0,(2.02224+0j)
773,965,2.022176,0.0,(2.022176+0j)
774,966,2.022112,0.0,(2.022112+0j)
775,967,2.022048,0.0,(2.022048+0j)
776,968,2.021985,0.0,(2.021985+0j)
777,969,2.021921,0.0,(2.021921+0j)
778,970,2.021858,0.0,(2.021858+0j)
779,971,2.021795,0.0,(2.021795+0j)
780,972,2.021733,0.0,(2.021733+0j)
781,973,2.02167,0.0,(2.02167+0j)
782,974,2.021608,0.0,(2.021608+0j)
783,975,2.021546,0.0,(2.021546+0j)
784,976,2.021484,0.0,(2.021484+0j)
785,977,2.021422,0.0,(2.021422+0j)
786,978,2.021361,0.0,(2.021361+0j)
787,979,2.0213,0.0,(2.0213+0j)
788,980,2.021239,0.0,(2.021239+0j)
789,981,2.021178,0.0,(2.021178+0j)
790,982,2.021117,0.0,(2.021117+0j)
791,983,2.021057,0.0,(2.021057+0j)
792,984,2.020997,0.0,(2.020997+0j)
793,985,2.020936,0.0,(2.020936+0j)
794,986,2.020877,0.0,(2.020877+0j)
795,987,2.020817,0.0,(2.020817+0j)
796,988,2.020758,0.0,(2.020758+0j)
797,989,2.020698,0.0,(2.020698+0j)
798,990,2.020639,0.0,(2.020639+0j)
799,991,2.020581,0.0,(2.020581+0j)
800,992,2.020522,0.0,(2.020522+0j)
801,993,2.020463,0.0,(2.020463+0j)
802,994,2.020405,0.0,(2.020405+0j)
803,995,2.020347,0.0,(2.020347+0j)
804,996,2.020289,0.0,(2.020289+0j)
805,997,2.020231,0.0,(2.020231+0j)
806,998,2.020174,0.0,(2.020174+0j)
807,999,2.020117,0.0,(2.020117+0j)
808,1000,2.02006,0.0,(2.02006+0j)
809,1001,2.020003,0.0,(2.020003+0j)
810,1002,2.019946,0.0,(2.019946+0j)
811,1003,2.019889,0.0,(2.019889+0j)
812,1004,2.019833,0.0,(2.019833+0j)
813,1005,2.019777,0.0,(2.019777+0j)
814,1006,2.019721,0.0,(2.019721+0j)
815,1007,2.019665,0.0,(2.019665+0j)
816,1008,2.019609,0.0,(2.019609+0j)
817,1009,2.019554,0.0,(2.019554+0j)
818,1010,2.019498,0.0,(2.019498+0j)
819,1011,2.019443,0.0,(2.019443+0j)
820,1012,2.019388,0.0,(2.019388+0j)
821,1013,2.019334,0.0,(2.019334+0j)
822,1014,2.019279,0.0,(2.019279+0j)
823,1015,2.019224,0.0,(2.019224+0j)
824,1016,2.01917,0.0,(2.01917+0j)
825,1017,2.019116,0.0,(2.019116+0j)
826,1018,2.019062,0.0,(2.019062+0j)
827,1019,2.019008,0.0,(2.019008+0j)
828,1020,2.018955,0.0,(2.018955+0j)
829,1021,2.018902,0.0,(2.018902+0j)
830,1022,2.018848,0.0,(2.018848+0j)
831,1023,2.018795,0.0,(2.018795+0j)
832,1024,2.018742,0.0,(2.018742+0j)
833,1025,2.01869,0.0,(2.01869+0j)
834,1026,2.018637,0.0,(2.018637+0j)
835,1027,2.018585,0.0,(2.018585+0j)
836,1028,2.018533,0.0,(2.018533+0j)
837,1029,2.01848,0.0,(2.01848+0j)
838,1030,2.018429,0.0,(2.018429+0j)
839,1031,2.018377,0.0,(2.018377+0j)
840,1032,2.018325,0.0,(2.018325+0j)
841,1033,2.018274,0.0,(2.018274+0j)
842,1034,2.018223,0.0,(2.018223+0j)
843,1035,2.018172,0.0,(2.018172+0j)
844,1036,2.018121,0.0,(2.018121+0j)
845,1037,2.01807,0.0,(2.01807+0j)
846,1038,2.018019,0.0,(2.018019+0j)
847,1039,2.017969,0.0,(2.017969+0j)
848,1040,2.017918,0.0,(2.017918+0j)
849,1041,2.017868,0.0,(2.017868+0j)
850,1042,2.017818,0.0,(2.017818+0j)
851,1043,2.017768,0.0,(2.017768+0j)
852,1044,2.017719,0.0,(2.017719+0j)
853,1045,2.017669,0.0,(2.017669+0j)
854,1046,2.01762,0.0,(2.01762+0j)
855,1047,2.017571,0.0,(2.017571+0j)
856,1048,2.017522,0.0,(2.017522+0j)
857,1049,2.017473,0.0,(2.017473+0j)
858,1050,2.017424,0.0,(2.017424+0j)
859,1051,2.017375,0.0,(2.017375+0j)
860,1052,2.017327,0.0,(2.017327+0j)
861,1053,2.017279,0.0,(2.017279+0j)
862,1054,2.017231,0.0,(2.017231+0j)
863,1055,2.017183,0.0,(2.017183+0j)
864,1056,2.017135,0.0,(2.017135+0j)
865,1057,2.017087,0.0,(2.017087+0j)
866,1058,2.017039,0.0,(2.017039+0j)
867,1059,2.016992,0.0,(2.016992+0j)
868,1060,2.016945,0.0,(2.016945+0j)
869,1061,2.016897,0.0,(2.016897+0j)
870,1062,2.01685,0.0,(2.01685+0j)
871,1063,2.016804,0.0,(2.016804+0j)
872,1064,2.016757,0.0,(2.016757+0j)
873,1065,2.01671,0.0,(2.01671+0j)
874,1066,2.016664,0.0,(2.016664+0j)
875,1067,2.016618,0.0,(2.016618+0j)
876,1068,2.016572,0.0,(2.016572+0j)
877,1069,2.016526,0.0,(2.016526+0j)
878,1070,2.016479,0.0,(2.016479+0j)
879,1071,2.016434,0.0,(2.016434+0j)
880,1072,2.016388,0.0,(2.016388+0j)
881,1073,2.016343,0.0,(2.016343+0j)
882,1074,2.016297,0.0,(2.016297+0j)
883,1075,2.016252,0.0,(2.016252+0j)
884,1076,2.016207,0.0,(2.016207+0j)
885,1077,2.016162,0.0,(2.016162+0j)
886,1078,2.016118,0.0,(2.016118+0j)
887,1079,2.016073,0.0,(2.016073+0j)
888,1080,2.016028,0.0,(2.016028+0j)
889,1081,2.015984,0.0,(2.015984+0j)
890,1082,2.01594,0.0,(2.01594+0j)
891,1083,2.015896,0.0,(2.015896+0j)
892,1084,2.015852,0.0,(2.015852+0j)
893,1085,2.015808,0.0,(2.015808+0j)
894,1086,2.015764,0.0,(2.015764+0j)
895,1087,2.01572,0.0,(2.01572+0j)
896,1088,2.015677,0.0,(2.015677+0j)
897,1089,2.015634,0.0,(2.015634+0j)
898,1090,2.01559,0.0,(2.01559+0j)
899,1091,2.015547,0.0,(2.015547+0j)
900,1092,2.015504,0.0,(2.015504+0j)
901,1093,2.015461,0.0,(2.015461+0j)
902,1094,2.015419,0.0,(2.015419+0j)
903,1095,2.015376,0.0,(2.015376+0j)
904,1096,2.015334,0.0,(2.015334+0j)
905,1097,2.015291,0.0,(2.015291+0j)
906,1098,2.015249,0.0,(2.015249+0j)
907,1099,2.015207,0.0,(2.015207+0j)
908,1100,2.015165,0.0,(2.015165+0j)
909,1101,2.015123,0.0,(2.015123+0j)
